AGE (yrs),AGE_2 (yrs),d18O
290000,290250,-55.63
290500,290750,-56.38
291000,291250,-56.67
291500,291750,-56.62
292000,292250,-56.98
292500,292750,-57.28
293000,293250,-57.59
293500,293750,-57.93
294000,294250,-57.26
294500,294750,-57.86
295000,295250,-57.93
295500,295750,-57.4
296000,296250,-57.23
296500,296750,-57.73
297000,297250,-58.04
297500,297750,-58.16
298000,298250,-58.66
298500,298750,-58.58
299000,299250,-58.05
299500,299750,-58.01
300000,300250,-57.9
300500,300750,-57.54
301000,301250,-57.62
301500,301750,-58.17
302000,302250,-58.3
302500,302750,-57.9
303000,303250,-57.91
303500,303750,-57.62
304000,304250,-57.66
304500,304750,-57.53
305000,305250,-57.31
305500,305750,-56.97
306000,306250,-57.55
306500,306750,-57.98
307000,307250,-58.01
307500,307750,-58.16
308000,308250,-57.87
308500,308750,-57.77
309000,309250,-57.15
309500,309750,-57.64
310000,310250,-57.44
310500,310750,-57.11
311000,311250,-56.94
311500,311750,-56.83
312000,312250,-56.97
312500,312750,-56.72
313000,313250,-56.46
313500,313750,-56.22
314000,314250,-56.28
314500,314750,-56.45
315000,315250,-55.99
315500,315750,-56.53
316000,316250,-56.16
316500,316750,-55.68
317000,317250,-56.43
317500,317750,-56.84
318000,318250,-57.14
318500,318750,-57.39
319000,319250,-57.84
319500,319750,-58.05
320000,320250,-57.95
320500,320750,-58.19
321000,321250,-57.88
321500,321750,-57.65
322000,322250,-57.12
322500,322750,-57.45
323000,323250,-57.39
323500,323750,-56.73
324000,324250,-56.72
324500,324750,-56.66
325000,325250,-56.22
325500,325750,-56.11
326000,326250,-55.99
326500,326750,-55.71
327000,327250,-55.69
327500,327750,-55.37
328000,328250,-55.17
328500,328750,-54.88
329000,329250,-54.82
329500,329750,-54.64
330000,330250,-54.02
330500,330750,-54.1
331000,331250,-53.87
331500,331750,-53.81
332000,332250,-54.04
332500,332750,-53.77
333000,333250,-53.51
333500,333750,-53.51
334000,334250,-53.02
334500,334750,-52.51
335000,335250,-51.65
335500,335750,-51.14
336000,336250,-51
336500,336750,-50.58
337000,337250,-50.97
337500,337750,-51.98
338000,338250,-52.65
338500,338750,-54.12
339000,339250,-54.5
339500,339500,-54.5
