Age [ka BP],d18O recon [per mil] (d18O values corrected for sea...)
8.8375,-45.58
8.848,-44.37
8.8585,-43.1
8.869,-44.53
8.8795,-44.57
8.89,-44.92
8.9005,-45.55
8.911,-44.79
8.9215,-44.56
8.9325,-45.44
8.943,-45.09
8.953,-44.83
8.9635,-44.21
8.974,-44.32
8.9845,-44.71
8.995,-43.6
9.0055,-45.22
9.016,-45.51
9.0265,-45.35
9.0375,-45.47
9.048,-44.86
9.0585,-44.95
9.069,-44.17
9.079,-41.7
9.089,-44.27
9.0995,-46.01
9.1105,-44.74
9.1215,-44.37
9.1325,-44.04
9.1435,-45.75
9.1545,-44.59
9.1655,-44.79
9.176,-43.36
9.1865,-44.05
9.197,-44.61
9.207,-43.97
9.217,-43.91
9.227,-44.78
9.2375,-45.44
9.2485,-45.06
9.26,-43.18
9.271,-44.28
9.283,-45.32
9.295,-44.04
9.307,-44.89
9.3195,-44.66
9.332,-44.82
9.3435,-45.08
9.3545,-45.86
9.3655,-44
9.3765,-44.6
9.387,-45.45
9.3975,-44.67
9.408,-44.87
9.418,-44.51
9.4285,-44.51
9.439,-44.58
9.449,-44.87
9.4595,-44.18
9.4705,-43.49
9.482,-45.46
9.4935,-45.21
9.505,-44.26
9.517,-44.44
9.5285,-43.46
9.5395,-44.14
9.551,-44.41
9.562,-44.56
9.573,-43.98
9.5835,-45.12
9.5945,-44.65
9.6055,-43.85
9.6165,-43
9.6275,-44.59
9.6385,-43.68
9.6495,-44.58
9.66,-44.23
9.6705,-44.72
9.681,-44.64
9.691,-44.18
9.701,-45.02
9.7115,-46.04
9.722,-43.78
9.732,-43.72
9.742,-43.95
9.7515,-44.61
9.761,-44.36
9.7705,-44.37
9.78,-44.43
9.7905,-43.73
9.8015,-45.52
9.813,-45.26
9.8245,-43.97
9.836,-44.12
9.8475,-43.87
9.859,-44.14
9.8705,-44.75
9.882,-44.45
9.893,-43.69
9.9035,-44.34
9.915,-44.51
9.9265,-43.73
9.938,-44
9.9495,-44.34
9.9605,-44.96
9.972,-44.12
9.983,-44.41
9.9935,-44.06
10.004,-44.85
10.0145,-45.21
10.025,-44.48
10.035,-45.38
10.045,-44.55
10.0555,-44.69
10.0665,-43.44
10.0775,-45.28
10.0885,-44.14
10.099,-44.42
10.1095,-44.84
10.12,-44.64
10.13,-42.8
10.1405,-43.59
10.1515,-43.87
10.162,-44.64
10.1725,-45.15
10.1835,-45.05
10.1945,-43.21
10.2055,-43.88
10.217,-44.71
10.2285,-44.43
10.2395,-44.36
10.251,-43.92
10.263,-44.74
10.2745,-43.46
10.2855,-44.48
10.296,-44.13
10.3065,-44.72
10.317,-44.13
10.327,-43.72
10.3375,-44.54
10.3485,-44.07
10.36,-43.86
10.3715,-45.05
10.3825,-44.21
10.394,-44.44
10.4055,-43.5
10.4165,-44.36
10.428,-44.74
10.4395,-45.44
10.4505,-42.83
10.461,-43.51
10.4705,-44
10.48,-44.63
10.49,-44.05
10.4995,-44.91
10.509,-44.14
10.5185,-43.45
10.528,-44.56
10.538,-43.56
10.548,-44.72
10.559,-44.62
10.5705,-44.1
10.5815,-44.66
10.5925,-43.76
10.6035,-43.7
10.615,-44.19
10.6265,-44.11
10.6375,-45.04
10.648,-43.76
10.6585,-43.98
10.6695,-44.91
10.68,-43.64
10.6905,-44.47
10.7015,-45.47
10.7125,-44.93
10.7235,-43.46
10.7345,-43.47
10.746,-44.31
10.7575,-44.6
10.769,-43.78
10.7805,-44.73
10.7915,-45.1
10.8025,-43.6
10.8135,-44.92
10.824,-43.68
10.8345,-43.82
10.845,-44.69
10.8555,-44.96
10.867,-44.11
10.879,-44.82
10.8905,-43.79
10.9015,-44.33
10.9125,-44.32
10.9235,-45.26
10.9345,-44.46
10.9455,-44.09
10.9575,-43.97
10.97,-45.02
10.982,-45.39
10.9935,-45.82
11.0045,-44.99
11.0155,-44.95
11.0265,-44.87
11.0375,-44.65
11.049,-44.56
11.0605,-44.85
11.072,-45.53
11.0835,-44.47
11.095,-43.69
11.107,-44.62
11.119,-43.46
11.131,-43.93
11.143,-43.94
11.155,-43.22
11.1665,-44.05
11.1775,-44.67
11.1885,-44.74
11.199,-45.08
11.2095,-43.78
11.2205,-44.23
11.232,-45.14
11.2435,-44.28
11.255,-44.73
11.267,-45.16
11.279,-44.16
11.291,-44.04
11.3025,-44.53
11.3135,-44.36
11.3245,-45.35
11.3355,-44.24
11.3465,-45.49
11.3575,-44.83
11.369,-46.17
11.3805,-45.35
11.3915,-44.91
11.403,-45.5
11.4145,-45.89
11.4255,-45.67
11.436,-45.74
11.4465,-45.21
11.4565,-43.85
11.466,-43.08
11.476,-43.82
11.486,-44.55
11.4955,-44.04
11.5045,-44.23
11.514,-44.19
11.524,-43.93
11.5345,-45.37
11.545,-44.22
11.5555,-44.58
11.5665,-46
11.5775,-44.37
11.588,-44.86
11.5985,-43.85
11.6095,-44.25
11.6195,-45.36
11.629,-44.53
11.639,-43.79
11.649,-44.73
11.659,-45.41
11.6685,-45.28
11.678,-44.99
11.688,-45.79
11.698,-44.8
11.708,-44.52
11.718,-45.07
11.728,-45.52
11.738,-44.63
11.748,-45.07
11.7575,-44.44
11.767,-46.37
11.777,-44
11.787,-43.87
11.7975,-45.42
11.8085,-45.33
11.8195,-45.79
11.831,-45.7
11.8425,-44.31
11.8535,-45.16
11.8645,-44.71
11.8755,-45.79
11.8865,-45.07
11.8975,-45.96
11.909,-45.24
11.9205,-45.1
11.932,-45.41
11.9435,-45.36
11.955,-45.35
11.967,-46.11
11.9785,-46.03
11.9895,-45.25
12.001,-46.18
12.0125,-45.75
12.0235,-45.97
12.035,-45.46
12.047,-45.52
